"Table 1.7 Occupational projections, 2019-29, and worker characteristics, 2019
 (Numbers in thousands)",,,,,,,,,,,,
2019 National Employment Matrix title and code,,"Occupation
type",Employment,,"Employment change, 2019-29",,"Percent self employed, 2019","Occupational openings, 2019-29 annual average","Median annual wage, 2019(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
,,,2019,2029,Number,Percent,,,,,,
"Total, all occupations",00-0000,Summary,"162,795.6","168,834.7","6,039.2",3.7,5.8,"17,454.3"," $39,810 ",—,—,—
Management occupations,11-0000,Summary,"10,697.2","11,202.2",505.0,4.7,18.6,843.0," $105,660 ",—,—,—
Top executives,11-1000,Summary,"2,828.0","2,946.3",118.3,4.2,3.0,222.2," $103,230 ",—,—,—
Chief executives,11-1011,Line item,287.9,259.1,-28.7,-10.0,24.2,13.9," $184,460 ",Bachelor's degree,5 years or more,None
General and operations managers,11-1021,Line item,"2,486.4","2,630.2",143.8,5.8,0.6,204.4," $100,780 ",Bachelor's degree,5 years or more,None
Legislators,11-1031,Line item,53.7,57.0,3.3,6.2,—,3.9," $29,270 ",Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,836.7,879.0,42.3,5.1,4.7,70.0," $128,870 ",—,—,—
Advertising and promotions managers,11-2011,Line item,28.6,28.3,-0.3,-1.1,11.0,2.5," $125,510 ",Bachelor's degree,Less than 5 years,None
Marketing and sales managers,11-2020,Summary,720.1,754.6,34.5,4.8,5.0,59.9," $130,700 ",—,—,—
Marketing managers,11-2021,Line item,286.3,305.4,19.1,6.7,5.0,24.6," $136,850 ",Bachelor's degree,5 years or more,None
Sales managers,11-2022,Line item,433.8,449.2,15.4,3.5,5.1,35.3," $126,640 ",Bachelor's degree,Less than 5 years,None
Public relations and fundraising managers,11-2030,Line item,88.0,96.1,8.1,9.2,—,7.6," $116,180 ",Bachelor's degree,5 years or more,None
Operations specialties managers,11-3000,Summary,"2,116.6","2,316.6",200.0,9.4,1.8,168.5," $120,960 ",—,—,—
Administrative services and facilities managers,11-3010,Line item,325.9,347.0,21.2,6.5,0.4,26.3," $96,940 ",Bachelor's degree,Less than 5 years,None
Computer and information systems managers,11-3021,Line item,461.0,509.2,48.1,10.4,1.8,36.8," $146,360 ",Bachelor's degree,5 years or more,None
Financial managers,11-3031,Line item,697.9,806.0,108.1,15.5,2.0,59.6," $129,890 ",Bachelor's degree,5 years or more,None
Industrial production managers,11-3051,Line item,190.1,191.9,1.7,0.9,1.0,11.7," $105,480 ",Bachelor's degree,5 years or more,None
Purchasing managers,11-3061,Line item,76.9,78.9,2.0,2.6,3.5,5.6," $121,110 ",Bachelor's degree,5 years or more,None
"Transportation, storage, and distribution managers",11-3071,Line item,139.4,144.3,4.9,3.5,3.1,10," $94,560 ",High school diploma or equivalent,5 years or more,None
Compensation and benefits managers,11-3111,Line item,18.0,18.4,0.5,2.5,1.9,1.3," $122,270 ",Bachelor's degree,5 years or more,None
Human resources managers,11-3121,Line item,165.2,175.6,10.4,6.3,2.1,13.3," $116,720 ",Bachelor's degree,5 years or more,None
Training and development managers,11-3131,Line item,42.3,45.4,3.1,7.3,3.6,3.7," $113,350 ",Bachelor's degree,5 years or more,None
Other management occupations,11-9000,Summary,"4,915.9","5,060.3",144.4,2.9,37.3,382.3," $91,300 ",—,—,—
"Farmers, ranchers, and other agricultural managers",11-9013,Line item,952.3,890.6,-61.6,-6.5,66.7,80.9," $71,160 ",High school diploma or equivalent,5 years or more,None
Construction managers,11-9021,Line item,476.7,517.1,40.4,8.5,37.9,34.7," $95,260 ",Bachelor's degree,None,Moderate-term on-the-job training
Education and childcare administrators,11-9030,Summary,595.1,618.2,23.1,3.9,3.7,42," $91,130 ",—,—,—
"Education and childcare administrators, preschool and daycare",11-9031,Line item,69.2,69.9,0.7,1.0,8.6,4.6," $48,210 ",Bachelor's degree,Less than 5 years,None
"Education administrators, kindergarten through secondary",11-9032,Line item,283.2,294.4,11.1,3.9,1.9,20," $96,400 ",Master's degree,5 years or more,None
"Education administrators, postsecondary",11-9033,Line item,190.5,197.6,7.1,3.7,4.1,13.4," $95,410 ",Master's degree,Less than 5 years,None
"Education administrators, all other",11-9039,Line item,52.1,56.4,4.2,8.1,6.0,4," $85,450 ",Bachelor's degree,Less than 5 years,None
Architectural and engineering managers,11-9041,Line item,198.1,203.2,5.1,2.6,—,12.5," $144,830 ",Bachelor's degree,5 years or more,None
Food service managers,11-9051,Line item,352.6,354.8,2.2,0.6,32.1,34.8," $55,320 ",High school diploma or equivalent,Less than 5 years,None
