,Employment Matrix Title,Employment Matrix Code,Typical education needed for entry,Related Work Experience,Typical on-the-job training
79,Computer and mathematical occupations,15-0000,—,—,—
80,Computer occupations,15-1200,—,—,—
81,Computer and information analysts,15-1210,—,—,—
82,Computer systems analysts,15-1211,Bachelor's degree,None,None
83,Information security analysts,15-1212,Bachelor's degree,Less than 5 years,None
84,Computer and information research scientists,15-1221,Master's degree,None,None
85,Computer support specialists,15-1230,—,—,—
86,Computer network support specialists,15-1231,Associate's degree,None,None
87,Computer user support specialists,15-1232,"Some college, no degree",None,None
88,Database and network administrators and architects,15-1240,—,—,—
89,Computer network architects,15-1241,Bachelor's degree,5 years or more,None
90,Network and computer systems administrators,15-1244,Bachelor's degree,None,None
91,Database administrators and architects,15-1245,Bachelor's degree,None,None
92,"Software and web developers, programmers, and testers",15-1250,—,—,—
93,Computer programmers,15-1251,Bachelor's degree,None,None
94,Software developers and software quality assurance analysts and testers,15-1256,Bachelor's degree,None,None
95,Web developers and digital interface designers,15-1257,Associate's degree,None,None
96,"Computer occupations, all other",15-1299,Bachelor's degree,None,None
97,Mathematical science occupations,15-2000,—,—,—
98,Actuaries,15-2011,Bachelor's degree,None,Long-term on-the-job training
99,Mathematicians,15-2021,Master's degree,None,None
100,Operations research analysts,15-2031,Bachelor's degree,None,None
101,Statisticians,15-2041,Master's degree,None,None
102,"Data scientists and mathematical science occupations, all other",15-2098,Bachelor's degree,None,None
233,Legal occupations,23-0000,—,—,—
234,"Lawyers, judges, and related workers",23-1000,—,—,—
235,Lawyers and judicial law clerks,23-1010,—,—,—
236,Lawyers,23-1011,Doctoral or professional degree,None,None
237,Judicial law clerks,23-1012,Doctoral or professional degree,None,None
238,"Judges, magistrates, and other judicial workers",23-1020,—,—,—
239,"Administrative law judges, adjudicators, and hearing officers",23-1021,Doctoral or professional degree,5 years or more,Short-term on-the-job training
240,"Arbitrators, mediators, and conciliators",23-1022,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
241,"Judges, magistrate judges, and magistrates",23-1023,Doctoral or professional degree,5 years or more,Short-term on-the-job training
242,Legal support workers,23-2000,—,—,—
243,Paralegals and legal assistants,23-2011,Associate's degree,None,None
244,Miscellaneous legal support workers,23-2090,—,—,—
245,"Title examiners, abstractors, and searchers",23-2093,High school diploma or equivalent,None,Moderate-term on-the-job training
246,"Legal support workers, all other",23-2099,Associate's degree,None,None
247,Educational instruction and library occupations,25-0000,—,—,—
248,Postsecondary teachers,25-1000,—,—,—
249,"Business teachers, postsecondary",25-1011,Doctoral or professional degree,None,None
250,"Math and computer science teachers, postsecondary",25-1020,—,—,—
251,"Computer science teachers, postsecondary",25-1021,Doctoral or professional degree,None,None
252,"Mathematical science teachers, postsecondary",25-1022,Doctoral or professional degree,None,None
253,"Engineering and architecture teachers, postsecondary",25-1030,—,—,—
254,"Architecture teachers, postsecondary",25-1031,Doctoral or professional degree,None,None
255,"Engineering teachers, postsecondary",25-1032,Doctoral or professional degree,None,None
256,"Life sciences teachers, postsecondary",25-1040,—,—,—
257,"Agricultural sciences teachers, postsecondary",25-1041,Doctoral or professional degree,None,None
258,"Biological science teachers, postsecondary",25-1042,Doctoral or professional degree,None,None
259,"Forestry and conservation science teachers, postsecondary",25-1043,Doctoral or professional degree,None,None
260,"Physical sciences teachers, postsecondary",25-1050,—,—,—
261,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Doctoral or professional degree,None,None
262,"Chemistry teachers, postsecondary",25-1052,Doctoral or professional degree,None,None
263,"Environmental science teachers, postsecondary",25-1053,Doctoral or professional degree,None,None
264,"Physics teachers, postsecondary",25-1054,Doctoral or professional degree,None,None
265,"Social sciences teachers, postsecondary",25-1060,—,—,—
266,"Anthropology and archeology teachers, postsecondary",25-1061,Doctoral or professional degree,None,None
267,"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Doctoral or professional degree,None,None
