,Employment Matrix Code,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
64,15-1211,0.5,5.4,12.8,7.8,46.4,24.0,3.1
65,15-1212,0.8,4.2,17.2,10.1,42.1,23.3,2.2
66,15-1221,0.0,0.9,5.9,3.7,33.7,35.1,20.8
67,15-1231,0.8,9.9,25.2,15.5,37.0,10.7,1.0
68,15-1232,0.8,9.9,25.2,15.5,37.0,10.7,1.0
69,15-1241,1.0,7.1,20.9,16.3,39.1,14.2,1.6
70,15-1244,0.6,6.0,23.5,16.1,41.7,10.9,1.1
71,15-1245,0.5,4.5,12.0,8.2,46.9,25.2,2.7
72,15-1251,0.8,4.7,11.5,8.6,50.7,21.2,2.6
73,15-1256,0.4,2.2,7.4,3.9,51.5,30.3,4.3
74,15-1257,0.7,4.9,15.4,10.4,53.7,13.6,1.3
75,15-1299,0.9,7.2,16.5,9.7,43.6,20.0,2.2
76,15-2011,0.0,0.0,3.0,0.3,58.3,27.0,11.5
77,15-2021,0.1,1.7,6.0,4.2,37.5,36.0,14.5
78,15-2031,0.6,5.4,14.1,7.1,39.2,28.9,4.6
79,15-2041,0.1,1.7,6.0,4.2,37.5,36.0,14.5
80,15-2098,0.1,1.7,6.0,4.2,37.5,36.0,14.5
178,23-1011,0.2,0.4,0.7,0.5,5.5,4.3,88.4
179,23-1012,0.0,2.8,5.3,5.7,9.3,4.9,72.0
180,23-1021,0.2,0.4,0.7,0.5,5.5,4.3,88.4
181,23-1022,0.2,0.4,0.7,0.5,5.5,4.3,88.4
182,23-1023,0.2,0.4,0.7,0.5,5.5,4.3,88.4
183,23-2011,0.7,10.6,22.5,19.1,36.5,7.2,3.3
184,23-2093,2.2,24.4,27.4,11.2,25.1,6.4,3.3
185,23-2099,2.3,10.4,18.5,6.9,39.8,11.9,10.1
186,25-1011,0.5,1.3,2.2,1.7,14.6,32.0,47.9
187,25-1021,0.5,1.3,2.2,1.7,14.6,32.0,47.9
188,25-1022,0.5,1.3,2.2,1.7,14.6,32.0,47.9
189,25-1031,0.5,1.3,2.2,1.7,14.6,32.0,47.9
190,25-1032,0.5,1.3,2.2,1.7,14.6,32.0,47.9
191,25-1041,0.5,1.3,2.2,1.7,14.6,32.0,47.9
192,25-1042,0.5,1.3,2.2,1.7,14.6,32.0,47.9
193,25-1043,0.5,1.3,2.2,1.7,14.6,32.0,47.9
194,25-1051,0.5,1.3,2.2,1.7,14.6,32.0,47.9
195,25-1052,0.5,1.3,2.2,1.7,14.6,32.0,47.9
196,25-1053,0.5,1.3,2.2,1.7,14.6,32.0,47.9
197,25-1054,0.5,1.3,2.2,1.7,14.6,32.0,47.9
198,25-1061,0.5,1.3,2.2,1.7,14.6,32.0,47.9
199,25-1062,0.5,1.3,2.2,1.7,14.6,32.0,47.9
200,25-1063,0.5,1.3,2.2,1.7,14.6,32.0,47.9
201,25-1064,0.5,1.3,2.2,1.7,14.6,32.0,47.9
202,25-1065,0.5,1.3,2.2,1.7,14.6,32.0,47.9
