,Area_Code,State,Occupation_Code,Occupation_Title,Total_Employment,Mean_Hourly_Income,Hourly_10th_Percentile,Hourly_25th_Percentile,Median_Hourly_Income,Hourly_75th_Percentile,Hourly_90th_Percentile,Mean_Annual_Income,Annual_10th_Percentile,Annual_25th_Percentile,Median_Annual_Income,Annual_75th_Percentile,Annual_90th_Percentile,Latitude,Longitude
0,1,Alabama,15-1211,Computer Systems Analysts,"4,310",42.12,26.17,31.52,39.36,50.82,62.95,"87,600","54,430","65,560","81,860","105,700","130,940",32.31823,-86.902298
1,1,Alabama,15-1212,Information Security Analysts,"1,570",42.67,23.93,30.13,40.51,54.51,65.82,"88,750","49,760","62,660","84,250","113,390","136,900",32.31823,-86.902298
2,1,Alabama,15-1231,Computer Network Support Specialists,"1,210",29.66,17.57,21.95,27.84,35.07,42.22,"61,680","36,540","45,660","57,920","72,930","87,820",32.31823,-86.902298
3,1,Alabama,15-1232,Computer User Support Specialists,"6,480",24.79,15.16,18.26,23.25,29.72,37.80,"51,550","31,540","37,990","48,360","61,820","78,630",32.31823,-86.902298
4,1,Alabama,15-1241,Computer Network Architects,"1,310",52.76,31.04,39.50,49.83,63.47,76.46,"109,740","64,560","82,150","103,650","132,010","159,040",32.31823,-86.902298
5,1,Alabama,15-1244,Network and Computer Systems Administrators,"4,090",37.23,21.69,27.63,35.68,45.74,56.60,"77,430","45,110","57,460","74,220","95,130","117,730",32.31823,-86.902298
6,1,Alabama,15-1245,Database Administrators and Architects,"2,430",41.13,24.27,29.87,39.00,49.09,61.16,"85,550","50,490","62,120","81,130","102,100","127,220",32.31823,-86.902298
7,1,Alabama,15-1251,Computer Programmers,"6,200",43.44,24.39,30.74,40.89,53.78,69.79,"90,360","50,730","63,940","85,040","111,860","145,170",32.31823,-86.902298
8,1,Alabama,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,"11,800",48.48,26.75,35.20,46.68,60.82,75.27,"100,840","55,630","73,210","97,100","126,510","156,570",32.31823,-86.902298
9,1,Alabama,15-1257,Web Developers and Digital Interface Designers,760,32.25,18.71,22.80,28.82,37.52,53.35,"67,070","38,910","47,420","59,950","78,030","110,970",32.31823,-86.902298
10,1,Alabama,15-1299,"Computer Occupations, All Other","2,240",38.93,20.31,28.94,39.33,47.83,56.01,"80,970","42,240","60,190","81,810","99,490","116,490",32.31823,-86.902298
11,1,Alabama,15-2011,Actuaries,100,56.99,29.52,37.46,52.52,68.31,84.72,"118,530","61,400","77,920","109,250","142,080","176,210",32.31823,-86.902298
12,1,Alabama,15-2031,Operations Research Analysts,670,44.14,22.79,30.30,42.01,56.01,70.49,"91,800","47,400","63,020","87,390","116,490","146,630",32.31823,-86.902298
13,1,Alabama,15-2041,Statisticians,220,31.28,20.05,23.63,29.58,36.11,45.85,"65,060","41,710","49,140","61,530","75,110","95,360",32.31823,-86.902298
14,1,Alabama,23-1011,Lawyers,"5,900",54.92,24.91,32.94,48.39,69.51,92.95,"114,240","51,810","68,520","100,660","144,590","193,330",32.31823,-86.902298
15,1,Alabama,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",100,61.68,28.39,44.74,70.11,83.89,83.90,"128,290","59,050","93,060","145,820","174,500","174,510",32.31823,-86.902298
16,1,Alabama,23-1022,"Arbitrators, Mediators, and Conciliators",40,33.29,18.18,24.36,34.59,38.22,49.58,"69,250","37,810","50,670","71,950","79,500","103,120",32.31823,-86.902298
17,1,Alabama,23-1023,"Judges, Magistrate Judges, and Magistrates",530,28.04,12.82,16.50,21.76,34.09,56.07,"58,330","26,660","34,310","45,260","70,900","116,620",32.31823,-86.902298
18,1,Alabama,23-2011,Paralegals and Legal Assistants,"3,780",22.78,14.09,17.04,21.74,27.62,33.26,"47,380","29,300","35,440","45,210","57,440","69,170",32.31823,-86.902298
19,1,Alabama,23-2093,"Title Examiners, Abstractors, and Searchers",380,20.57,13.99,16.11,18.41,25.06,30.31,"42,790","29,100","33,510","38,300","52,120","63,040",32.31823,-86.902298
20,1,Alabama,23-2099,"Legal Support Workers, All Other",220,26.35,16.52,20.98,24.97,27.89,31.63,"54,810","34,370","43,630","51,930","58,020","65,790",32.31823,-86.902298
21,1,Alabama,25-1011,"Business Teachers, Postsecondary",860,*,*,*,*,*,*,"106,490","44,560","58,880","87,500","131,830","195,160",32.31823,-86.902298
22,1,Alabama,25-1021,"Computer Science Teachers, Postsecondary",520,*,*,*,*,*,*,"99,760","45,620","57,550","81,970","126,170","178,580",32.31823,-86.902298
23,1,Alabama,25-1022,"Mathematical Science Teachers, Postsecondary",810,*,*,*,*,*,*,"69,940","42,580","53,090","60,910","77,540","110,430",32.31823,-86.902298
24,1,Alabama,25-1032,"Engineering Teachers, Postsecondary",590,*,*,*,*,*,*,"113,200","60,800","83,670","102,660","129,070","172,270",32.31823,-86.902298
25,1,Alabama,25-1041,"Agricultural Sciences Teachers, Postsecondary",170,*,*,*,*,*,*,"96,090","49,710","73,000","95,550","118,460","140,930",32.31823,-86.902298
26,1,Alabama,25-1042,"Biological Science Teachers, Postsecondary","1,980",*,*,*,*,*,*,*,*,*,*,*,*,32.31823,-86.902298
27,1,Alabama,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",50,*,*,*,*,*,*,"93,500","48,570","69,150","88,150","110,470","134,360",32.31823,-86.902298
28,1,Alabama,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",90,*,*,*,*,*,*,"84,490","47,040","57,550","72,450","92,500","124,440",32.31823,-86.902298
29,1,Alabama,25-1052,"Chemistry Teachers, Postsecondary",350,*,*,*,*,*,*,"81,380","44,580","55,140","73,940","98,460","126,890",32.31823,-86.902298
30,1,Alabama,25-1053,"Environmental Science Teachers, Postsecondary",40,*,*,*,*,*,*,"82,290","43,690","55,940","72,150","99,480","123,540",32.31823,-86.902298
31,1,Alabama,25-1054,"Physics Teachers, Postsecondary",180,*,*,*,*,*,*,"90,780","48,450","64,470","81,640","108,100","139,860",32.31823,-86.902298
32,1,Alabama,25-1061,"Anthropology and Archeology Teachers, Postsecondary",50,*,*,*,*,*,*,"77,910","45,540","58,090","72,810","91,540","120,600",32.31823,-86.902298
33,1,Alabama,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",70,*,*,*,*,*,*,"115,360","58,120","68,820","80,790","133,810",#,32.31823,-86.902298
34,1,Alabama,25-1063,"Economics Teachers, Postsecondary",210,*,*,*,*,*,*,"129,360","60,600","83,500","111,530","152,320",#,32.31823,-86.902298
35,1,Alabama,25-1064,"Geography Teachers, Postsecondary",30,*,*,*,*,*,*,"84,730","44,920","59,510","75,570","98,980","153,960",32.31823,-86.902298
36,1,Alabama,25-1065,"Political Science Teachers, Postsecondary",150,*,*,*,*,*,*,"78,090","52,610","64,420","74,980","90,540","111,980",32.31823,-86.902298
37,1,Alabama,25-1066,"Psychology Teachers, Postsecondary",480,*,*,*,*,*,*,"78,070","43,970","55,420","68,700","89,310","128,810",32.31823,-86.902298
38,1,Alabama,25-1067,"Sociology Teachers, Postsecondary",150,*,*,*,*,*,*,"62,480","42,830","49,150","58,770","73,340","90,430",32.31823,-86.902298
39,1,Alabama,25-1069,"Social Sciences Teachers, Postsecondary, All Other",50,*,*,*,*,*,*,"87,880","59,860","69,290","80,220","103,970","126,500",32.31823,-86.902298
40,1,Alabama,25-1071,"Health Specialties Teachers, Postsecondary","1,850",*,*,*,*,*,*,"104,740","41,150","57,000","90,380","133,120","186,570",32.31823,-86.902298
