,State,Latitude,Longitude
0,Wisconsin,44.5,-89.5
1,West Virginia,39.0,-80.5
2,Vermont,44.0,-72.699997
3,Texas,31.0,-100.0
4,South Dakota,44.5,-100.0
5,Rhode Island,41.700001,-71.5
6,Oregon,44.0,-120.5
7,New York,43.0,-75.0
8,New Hampshire,44.0,-71.5
9,Nebraska,41.5,-100.0
10,Kansas,38.5,-98.0
11,Mississippi,33.0,-90.0
12,Illinois,40.0,-89.0
13,Delaware,39.0,-75.5
14,Connecticut,41.599998,-72.699997
15,Arkansas,34.799999,-92.199997
16,Indiana,40.273502,-86.126976
17,Missouri,38.573935999999996,-92.60376
18,Florida,27.994402,-81.760254
19,Nevada,39.876019,-117.224121
20,Maine,45.367584,-68.97216800000001
21,Michigan,44.182204999999996,-84.50683599999999
22,Georgia,33.247875,-83.441162
23,Hawaii,19.741754999999998,-155.844437
24,Alaska,66.160507,-153.36914099999998
25,Tennessee,35.860119,-86.660156
26,Virginia,37.926868,-78.024902
27,New Jersey,39.833851,-74.871826
28,Kentucky,37.839333,-84.27002
29,North Dakota,47.650589000000004,-100.437012
30,Minnesota,46.39241,-94.63623
31,Oklahoma,36.084621000000006,-96.921387
32,Montana,46.96526,-109.53369099999999
33,Washington,47.751076,-120.74013500000001
34,Utah,39.41922,-111.95068400000001
35,Colorado,39.113014,-105.35888700000001
36,Ohio,40.367474,-82.996216
37,Alabama,32.31823,-86.902298
38,Iowa,42.032973999999996,-93.58154300000001
39,New Mexico,34.307144,-106.01806599999999
40,South Carolina,33.836082,-81.16372700000001
41,Pennsylvania,41.203323,-77.19452700000001
42,Arizona,34.048927,-111.09373500000001
43,Maryland,39.045753000000005,-76.641273
44,Massachusetts,42.407211,-71.382439
45,California,36.778259000000006,-119.41793100000001
46,Idaho,44.068203000000004,-114.742043
47,Wyoming,43.07597,-107.290283
48,North Carolina,35.782169,-80.79345699999999
49,Louisiana,30.39183,-92.329102
