,Area_Code,State,Occupation_Code,Occupation_Title,Total_Employment,Mean_Hourly_Income,Hourly_10th_Percentile,Hourly_25th_Percentile,Median_Hourly_Income,Hourly_75th_Percentile,Hourly_90th_Percentile,Mean_Annual_Income,Annual_10th_Percentile,Annual_25th_Percentile,Median_Annual_Income,Annual_75th_Percentile,Annual_90th_Percentile
62,1,Alabama,15-1211,Computer Systems Analysts,"4,310",42.12,26.17,31.52,39.36,50.82,62.95,"87,600","54,430","65,560","81,860","105,700","130,940"
63,1,Alabama,15-1212,Information Security Analysts,"1,570",42.67,23.93,30.13,40.51,54.51,65.82,"88,750","49,760","62,660","84,250","113,390","136,900"
64,1,Alabama,15-1231,Computer Network Support Specialists,"1,210",29.66,17.57,21.95,27.84,35.07,42.22,"61,680","36,540","45,660","57,920","72,930","87,820"
65,1,Alabama,15-1232,Computer User Support Specialists,"6,480",24.79,15.16,18.26,23.25,29.72,37.80,"51,550","31,540","37,990","48,360","61,820","78,630"
66,1,Alabama,15-1241,Computer Network Architects,"1,310",52.76,31.04,39.50,49.83,63.47,76.46,"109,740","64,560","82,150","103,650","132,010","159,040"
67,1,Alabama,15-1244,Network and Computer Systems Administrators,"4,090",37.23,21.69,27.63,35.68,45.74,56.60,"77,430","45,110","57,460","74,220","95,130","117,730"
68,1,Alabama,15-1245,Database Administrators and Architects,"2,430",41.13,24.27,29.87,39.00,49.09,61.16,"85,550","50,490","62,120","81,130","102,100","127,220"
69,1,Alabama,15-1251,Computer Programmers,"6,200",43.44,24.39,30.74,40.89,53.78,69.79,"90,360","50,730","63,940","85,040","111,860","145,170"
70,1,Alabama,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,"11,800",48.48,26.75,35.20,46.68,60.82,75.27,"100,840","55,630","73,210","97,100","126,510","156,570"
71,1,Alabama,15-1257,Web Developers and Digital Interface Designers,760,32.25,18.71,22.80,28.82,37.52,53.35,"67,070","38,910","47,420","59,950","78,030","110,970"
72,1,Alabama,15-1299,"Computer Occupations, All Other","2,240",38.93,20.31,28.94,39.33,47.83,56.01,"80,970","42,240","60,190","81,810","99,490","116,490"
73,1,Alabama,15-2011,Actuaries,100,56.99,29.52,37.46,52.52,68.31,84.72,"118,530","61,400","77,920","109,250","142,080","176,210"
74,1,Alabama,15-2031,Operations Research Analysts,670,44.14,22.79,30.30,42.01,56.01,70.49,"91,800","47,400","63,020","87,390","116,490","146,630"
75,1,Alabama,15-2041,Statisticians,220,31.28,20.05,23.63,29.58,36.11,45.85,"65,060","41,710","49,140","61,530","75,110","95,360"
161,1,Alabama,23-1011,Lawyers,"5,900",54.92,24.91,32.94,48.39,69.51,92.95,"114,240","51,810","68,520","100,660","144,590","193,330"
162,1,Alabama,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",100,61.68,28.39,44.74,70.11,83.89,83.90,"128,290","59,050","93,060","145,820","174,500","174,510"
